id,Количество.комнат,Студия,Общая.площадь,Этаж,Этажей.в.доме,Парковка,Без.ремонта,Дизайнерский,Евроремонт,Косметический,Балкон,Лоджия,Совмещенный.санузел,Раздельный.санузел,Лифт,Грузовой.лифт,Мусоропровод,Год.постройки,Аварийный,Железобетонные.перекрытия,Смешанные.перекрытия,Деревянные.перекрытия,Иные.перекрытия,Панельные.стены,Блочные.стены,Деревянные.стены,Кирпичные.стены,Монолитные.стены,Смешанные.стены,Школа.1000,ВУЗ.1000,ТЦ.1000,Стоматология.1000,Почта.1000,Поликлиника.1000,Парк.1000,Остановка.1000,Одежда..1000,Супер3кет.1000,Кинотеатр.1000,Кафе.1000,АЗС.1000,Детский.сад.1000,Бар.1000,Банк.1000,Аптека.1000,Цена
1283,3,0,68.0,5,5,0,0,0,1,0,1,0,1,0,0,0,0,1973,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,2,0,0,6,1,2,0,1,4,8,0,0,4,3000000.0
1316,1,0,29.0,3,5,0,0,0,0,1,0,0,0,0,0,0,0,1977,0,1,0,0,0,0,0,0,1,0,0,2,1,1,5,1,1,0,9,15,0,0,4,6,8,3,1,3,1800000.0
865,3,0,49.0,4,5,0,0,0,0,1,1,0,0,1,0,0,0,1972,0,1,0,0,0,1,0,0,0,0,0,13,15,1,10,5,2,2,8,24,5,0,9,1,20,4,13,27,2900000.0
26,2,0,56.0,10,10,0,0,0,1,0,1,0,0,1,1,0,1,2007,0,1,0,0,0,1,0,0,0,0,0,3,1,2,25,1,1,0,12,63,9,1,16,0,27,8,15,26,3500000.0
442,1,0,47.0,14,17,0,0,0,0,1,0,0,1,0,2,1,1,2016,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,5,1,0,4,2500000.0
394,1,1,15.0,3,5,0,0,0,0,1,0,0,1,0,0,0,0,1964,0,1,0,0,0,1,0,0,0,0,0,2,1,2,4,2,2,1,8,1,5,0,3,2,9,1,4,11,650000.0
723,1,1,17.1,5,5,0,0,0,0,1,0,0,1,0,0,0,0,1970,0,1,0,0,0,1,0,0,0,0,0,8,1,3,6,2,3,0,9,5,5,0,2,4,10,1,5,8,980000.0
248,3,0,78.0,1,5,0,0,0,0,1,0,0,0,1,0,0,0,1956,0,0,1,0,0,0,0,0,1,0,0,6,9,2,11,3,5,0,8,9,5,0,10,4,19,6,12,28,3600000.0
496,4,0,80.0,1,9,0,0,0,0,1,0,0,0,1,1,0,0,1975,0,1,0,0,0,1,0,0,0,0,0,4,0,1,4,2,2,0,7,30,6,1,10,4,8,3,7,9,3500000.0
1016,1,0,44.0,7,14,0,0,0,0,1,1,0,0,0,2,1,1,2013,0,1,0,0,0,1,0,0,0,0,0,1,0,3,16,2,4,1,14,9,6,0,9,1,23,6,4,22,2800000.0
1127,2,0,48.3,1,5,0,0,0,0,1,0,0,0,1,0,0,0,1973,0,1,0,0,0,1,0,0,0,0,0,3,1,0,5,1,3,0,8,8,4,1,2,5,5,3,1,10,2500000.0
689,4,0,85.0,9,9,1,0,1,0,0,1,1,0,1,1,0,1,1986,0,1,0,0,0,1,0,0,0,0,0,3,0,0,5,2,3,0,4,4,2,0,4,2,13,0,5,9,3500000.0
667,1,0,38.0,8,18,0,0,0,0,1,1,0,0,1,1,1,1,2016,0,1,0,0,0,0,0,0,0,1,0,3,0,0,4,2,2,0,5,2,3,0,3,2,13,0,5,10,1950000.0
765,3,0,62.0,1,9,1,0,0,1,0,0,0,0,1,1,0,1,1976,0,1,0,0,0,0,0,0,1,0,0,11,7,1,6,5,1,2,10,5,5,0,7,1,23,5,11,21,3350000.0
883,1,0,30.0,2,5,0,0,0,0,1,0,0,0,1,0,0,0,1978,0,1,0,0,0,0,0,0,1,0,0,4,6,0,7,1,0,1,13,3,4,0,5,0,15,5,3,12,1790000.0
946,1,0,41.0,8,16,0,0,0,0,1,1,0,0,1,1,0,1,2017,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,1,0,2,0,1,4,2,1,0,0,2600000.0
251,1,0,32.1,5,6,0,0,0,1,0,1,0,0,1,0,0,0,1964,0,0,1,0,0,0,0,0,1,0,0,8,8,2,11,3,4,0,11,9,6,0,9,5,19,4,14,34,1800000.0
243,1,0,32.0,3,5,0,0,0,0,1,1,0,1,0,0,0,0,1964,0,1,0,0,0,1,0,0,0,0,0,6,3,2,8,3,4,1,12,12,4,1,17,2,13,1,16,15,1920000.0
695,2,0,42.0,13,13,0,0,0,0,1,0,0,1,0,1,0,1,2006,0,1,0,0,0,1,0,0,0,0,0,3,0,0,3,1,2,0,4,3,0,0,3,1,9,0,2,5,1650000.0
1317,1,0,33.0,1,5,0,0,0,0,1,0,0,1,0,0,0,0,1977,0,1,0,0,0,0,0,0,1,0,0,2,1,1,5,1,1,0,9,15,0,0,4,6,8,3,1,3,1750000.0
824,1,0,31.6,4,5,0,0,0,0,1,0,0,1,0,0,0,0,1968,0,1,0,0,0,1,0,0,0,0,0,6,2,2,4,2,4,0,11,4,7,0,5,3,12,1,2,15,1790000.0
1015,2,0,53.0,1,10,0,0,0,0,1,0,0,0,1,1,0,1,2010,0,1,0,0,0,1,0,0,0,0,0,1,0,3,16,2,5,1,15,9,6,0,9,3,24,6,4,22,3050000.0
284,1,0,14.0,5,5,0,0,0,0,1,0,0,1,0,0,0,0,1969,0,1,0,0,0,1,0,0,0,0,0,2,0,0,2,1,1,0,2,0,0,0,0,0,2,2,0,4,750000.0
885,3,0,56.0,1,5,0,0,0,0,1,0,0,1,0,0,0,0,1966,0,1,0,0,0,1,0,0,0,0,0,5,2,0,9,2,1,1,12,4,6,0,5,2,16,5,3,13,2800000.0
402,5,0,116.0,5,10,1,0,0,1,0,2,0,0,2,1,0,1,1996,0,1,0,0,0,1,0,0,0,0,0,8,5,2,18,4,4,3,27,25,12,0,15,2,29,9,18,31,6800000.0
693,1,0,20.0,3,4,0,0,0,0,1,0,0,1,0,1,0,1,2006,0,1,0,0,0,1,0,0,0,0,0,3,0,0,3,1,2,0,4,3,0,0,3,1,9,0,2,5,1000000.0
85,1,0,30.6,5,5,0,0,0,0,1,0,0,0,1,0,0,0,1974,0,1,0,0,0,1,0,0,0,0,0,5,0,3,8,3,3,1,13,5,3,0,3,3,13,0,6,15,1680000.0
927,2,0,50.0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,1993,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,1,2,0,6,0,0,0,2,1,4,0,1,4,2700000.0
1033,1,0,43.0,9,17,1,0,0,0,1,1,0,1,0,1,1,1,2016,0,1,0,0,0,0,0,0,1,0,0,2,8,0,0,0,0,0,4,1,1,0,5,2,6,2,1,2,2700000.0
983,3,0,75.8,1,5,0,0,0,0,1,0,1,0,1,0,0,0,1996,0,1,0,0,0,0,0,0,1,0,0,2,0,0,14,3,4,1,14,5,2,0,8,1,20,5,2,19,3800000.0
310,2,0,53.0,1,10,0,0,0,0,1,0,0,0,1,1,0,1,1999,0,1,0,0,0,1,0,0,0,0,0,4,0,3,28,5,4,1,11,14,10,0,7,2,39,12,10,29,2950000.0
474,2,0,45.4,1,9,0,0,0,0,1,1,0,0,1,1,0,1,2013,0,1,0,0,0,1,0,0,0,0,0,5,1,2,3,0,2,0,2,0,4,0,0,1,8,1,1,4,2650000.0
356,1,0,38.0,6,9,0,0,0,0,1,2,0,0,1,1,0,1,1989,0,1,0,0,0,1,0,0,0,0,0,3,0,1,2,1,2,0,6,2,0,0,2,0,8,0,3,5,1700000.0
1357,3,0,63.6,1,9,0,0,0,0,1,1,0,0,1,1,0,1,1979,0,1,0,0,0,1,0,0,0,0,0,2,0,2,3,1,0,1,9,0,3,0,4,4,6,2,2,10,2550000.0
453,3,0,63.0,5,5,0,0,0,0,1,0,2,0,1,0,0,0,1988,0,1,0,0,0,0,0,0,1,0,0,6,0,2,6,3,0,0,10,4,4,0,8,4,14,1,7,11,3400000.0
1043,3,0,60.0,2,9,0,0,0,0,1,1,0,0,1,1,0,1,1972,0,1,0,0,0,1,0,0,0,0,0,6,21,4,21,4,5,0,15,49,9,0,28,5,14,15,22,17,3400000.0
1562,2,0,59.0,4,9,1,1,0,0,0,1,0,0,1,1,0,0,2017,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,1,0,2,0,1,4,2,1,0,0,3500000.0
130,4,0,79.8,5,9,0,0,0,0,1,2,0,0,1,1,0,1,1985,0,1,0,0,0,1,0,0,0,0,0,6,1,6,15,4,3,0,11,8,8,0,7,4,30,5,5,19,3750000.0
1112,1,0,38.0,10,14,0,0,0,0,1,0,1,1,0,1,0,1,2014,0,1,0,0,0,0,0,0,0,0,1,1,2,2,8,1,1,1,5,2,8,0,7,2,17,4,2,13,2180000.0
1153,3,0,50.0,2,9,0,0,0,0,1,0,1,0,1,0,0,1,1969,0,1,0,0,0,1,0,0,0,0,0,4,2,3,9,3,4,1,11,14,5,1,18,5,11,2,14,15,2600000.0
1256,2,0,45.6,3,5,0,0,0,0,1,1,0,1,0,0,0,0,1968,0,1,0,0,0,1,0,0,0,0,0,9,4,2,10,4,4,0,11,7,7,0,10,5,20,4,16,32,2350000.0
501,3,0,65.2,1,9,0,0,0,0,1,0,0,0,1,1,0,1,1985,0,1,0,0,0,1,0,0,0,0,0,7,0,0,6,3,6,0,8,2,7,0,8,1,16,3,9,10,3800000.0
368,2,0,40.0,11,24,0,0,0,0,1,1,0,1,0,0,0,0,2017,0,1,0,0,0,0,0,0,1,0,0,2,2,3,8,1,0,1,6,2,8,0,7,2,16,5,2,12,2550000.0
721,1,1,17.1,5,5,0,0,0,0,1,0,0,1,0,0,0,0,1970,0,1,0,0,0,1,0,0,0,0,0,8,1,3,6,2,3,0,9,5,5,0,2,4,10,1,5,8,1000000.0
1221,1,1,25.5,5,5,0,0,0,0,1,0,1,0,1,0,0,0,1977,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,2,1,0,0,0,0,5,1,0,2,1050000.0
1252,3,0,86.0,4,4,1,0,0,1,0,1,0,0,1,0,0,0,1954,0,0,0,1,0,0,0,0,1,0,0,4,1,1,5,3,3,1,8,2,1,0,4,3,10,1,3,8,5000000.0
86,1,0,30.5,5,5,0,0,0,0,1,0,0,0,1,0,0,0,1974,0,1,0,0,0,1,0,0,0,0,0,5,0,3,8,3,3,1,13,5,3,0,3,3,13,0,6,15,1680000.0
1255,2,0,45.6,3,5,0,0,0,0,1,0,0,1,0,0,0,0,1968,0,1,0,0,0,1,0,0,0,0,0,9,4,2,10,4,4,0,11,7,7,0,10,5,20,4,16,32,2350000.0
255,3,0,81.1,2,3,0,0,1,0,0,0,0,1,0,0,0,0,1955,0,0,0,1,0,0,0,0,1,0,0,7,4,2,9,4,5,0,10,8,7,0,10,4,19,4,15,31,5000000.0
1453,2,0,70.0,10,10,0,1,0,0,0,2,1,0,1,1,0,1,2013,0,1,0,0,0,1,0,0,0,0,0,5,0,1,25,4,4,1,13,13,11,0,6,0,29,10,13,38,3750000.0
1096,1,0,33.0,5,5,0,0,0,1,0,1,0,1,0,0,0,0,1968,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,2,0,0,3,1,0,0,0,0,4,1,1,4,1830000.0
143,2,0,42.0,7,10,0,0,0,0,1,1,0,0,1,1,0,1,1990,0,1,0,0,0,1,0,0,0,0,0,6,0,5,16,4,3,0,10,9,11,0,9,2,32,5,5,17,2600000.0
88,1,0,31.0,1,5,0,0,0,1,0,0,0,1,0,0,0,0,1972,0,0,1,0,0,0,0,0,1,0,0,7,0,3,6,2,3,0,9,5,5,0,2,4,9,0,5,8,1550000.0
608,1,0,14.0,5,9,0,0,0,0,1,0,0,0,0,1,0,1,1979,0,1,0,0,0,1,0,0,0,0,0,5,1,1,10,1,3,0,10,12,5,1,6,5,11,8,1,14,735000.0
1149,1,0,17.0,4,5,0,0,0,0,1,0,0,1,0,0,0,0,1966,0,1,0,0,0,1,0,0,0,0,0,4,3,3,8,2,2,1,9,14,4,1,19,6,9,1,7,11,1100000.0
1139,4,0,75.0,1,9,1,0,0,1,0,0,0,0,1,1,0,1,1981,0,1,0,0,0,1,0,0,0,0,0,6,2,1,9,2,0,0,14,15,9,0,10,2,19,3,11,22,3950000.0
1004,3,0,62.0,5,5,0,0,0,0,1,2,0,1,0,0,0,0,1980,0,1,0,0,0,1,0,0,0,0,0,5,0,0,5,1,2,0,10,3,2,0,2,2,15,2,3,12,3550000.0
617,1,0,16.0,1,5,0,0,0,0,1,0,0,1,0,0,0,0,1967,0,1,0,0,0,1,0,0,0,0,0,4,0,0,5,2,1,0,7,1,3,0,0,3,13,0,3,8,800000.0
1042,3,0,60.0,2,9,0,0,0,0,1,1,0,0,1,1,0,1,1971,0,1,0,0,0,1,0,0,0,0,0,6,12,4,22,4,5,0,16,49,10,0,28,5,14,15,22,18,3400000.0
459,3,0,77.0,2,9,0,0,0,0,1,1,0,0,1,1,0,1,1981,0,1,0,0,0,1,0,0,0,0,0,5,0,1,3,2,0,0,7,3,2,0,5,1,6,1,5,6,4300000.0
590,4,0,84.0,2,9,0,0,0,0,1,1,0,0,1,1,0,1,1988,0,1,0,0,0,1,0,0,0,0,0,4,0,4,21,4,1,1,13,7,8,0,6,5,30,9,5,18,3400000.0
700,1,0,28.2,10,13,0,0,0,0,1,0,0,1,0,1,1,1,2006,0,1,0,0,0,1,0,0,0,0,0,3,0,0,3,1,2,0,4,3,0,0,3,1,9,0,2,5,1350000.0
579,5,0,120.0,8,9,0,0,0,1,0,2,1,0,0,1,0,0,1999,0,1,0,0,0,1,0,0,0,0,0,2,0,0,14,1,4,0,9,5,5,0,2,0,15,6,9,25,5500000.0
1493,2,0,54.0,24,25,0,1,0,0,0,1,0,1,0,0,0,1,2017,0,1,0,0,0,0,0,0,1,0,0,2,2,3,8,1,0,1,6,2,9,0,8,3,17,4,2,13,3400000.0
234,2,0,39.0,6,9,0,0,0,0,1,0,0,1,0,1,0,0,1974,0,1,0,0,0,0,0,0,1,0,0,2,0,3,12,2,2,1,8,16,4,0,17,5,6,3,9,12,1950000.0
682,1,0,41.6,13,16,0,0,0,0,1,1,0,1,0,0,0,0,2016,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,1,0,2,0,1,1,8,0,2,4,1900000.0
1386,3,0,48.4,5,5,0,0,0,0,1,1,0,0,1,0,0,0,1968,0,1,0,0,0,1,0,0,0,0,0,4,0,1,7,3,3,1,7,4,6,0,3,0,11,2,5,9,2850000.0
63,3,0,100.0,16,19,0,0,0,1,0,1,1,1,0,1,0,1,2000,0,1,0,0,0,0,0,0,0,1,0,3,6,7,33,3,6,4,26,39,10,0,33,8,18,16,39,29,6000000.0
473,4,0,65.5,1,5,0,0,0,0,1,0,0,1,0,0,0,0,1979,0,1,0,0,0,1,0,0,0,0,0,5,3,1,10,2,0,0,12,15,9,0,10,2,21,4,11,21,3300000.0
244,1,0,15.0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,1964,0,1,0,0,0,1,0,0,0,0,0,6,3,2,8,3,4,1,11,12,4,1,17,2,15,1,16,15,800000.0
302,1,0,58.0,17,17,0,0,0,0,1,1,0,0,1,0,0,0,2009,0,0,1,0,0,0,1,0,0,0,0,3,0,3,17,5,4,1,11,12,7,0,6,3,19,11,7,23,3400000.0
532,1,0,35.4,2,2,0,0,0,0,1,0,0,1,0,0,0,0,1956,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,1,0,0,0,1600000.0
1532,4,0,86.0,6,9,0,1,0,0,0,3,0,0,1,1,0,1,1984,0,1,0,0,0,1,0,0,0,0,0,4,0,1,5,2,2,0,6,4,1,0,3,2,12,0,5,8,3200000.0
968,3,0,70.0,3,9,1,0,0,0,1,1,1,1,1,0,0,1,1987,0,1,0,0,0,0,0,0,1,0,0,6,4,2,11,3,5,0,12,37,5,0,14,3,7,7,12,13,4100000.0
1138,2,0,54.0,6,9,0,0,0,0,1,0,1,0,1,1,0,1,1983,0,1,0,0,0,1,0,0,0,0,0,4,2,1,10,2,0,0,13,17,8,0,10,3,18,4,10,21,3450000.0
500,2,0,47.0,4,5,0,0,0,0,1,1,0,1,0,0,0,0,1964,0,1,0,0,0,1,0,0,0,0,0,3,1,3,3,2,3,1,12,3,8,0,3,2,13,5,3,15,2350000.0
655,1,0,36.1,17,18,0,0,0,0,1,0,1,1,0,1,0,1,2015,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,2,1,3,0,2,2,8,0,3,6,1800000.0
366,2,0,53.0,20,24,1,0,0,0,1,1,0,1,0,1,1,1,2017,0,1,0,0,0,0,0,0,1,0,0,2,2,3,8,1,0,1,6,2,8,0,7,2,16,5,2,12,3200000.0
265,2,0,45.0,4,5,0,0,0,0,1,1,0,1,0,0,0,0,1961,0,1,0,0,0,0,0,0,1,0,0,8,15,1,9,3,2,3,4,22,6,0,11,1,18,3,13,17,2300000.0
320,2,0,47.6,5,5,0,0,0,1,0,1,0,0,1,0,0,0,1973,0,1,0,0,0,1,0,0,0,0,0,5,0,1,6,1,3,0,6,3,5,0,7,2,11,2,8,9,2900000.0
957,4,0,60.0,3,5,0,0,0,0,1,1,0,1,0,0,0,0,1980,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,2800000.0
1602,1,0,42.0,10,10,1,1,0,0,0,1,0,0,1,1,0,1,2004,0,1,0,0,0,1,0,0,0,0,0,2,0,0,2,2,0,0,5,1,1,0,1,2,8,0,0,4,2180000.0
289,1,0,31.0,4,5,0,0,0,0,1,1,0,0,0,0,0,0,1964,0,1,0,0,0,1,0,0,0,0,0,6,3,2,8,3,4,1,15,12,4,1,17,4,15,1,15,15,1900000.0
1125,4,0,61.8,4,5,0,0,0,0,1,1,0,0,1,0,0,0,1962,0,1,0,0,0,0,0,0,1,0,0,6,6,2,15,4,5,0,12,41,6,0,15,4,9,7,16,14,3300000.0
921,3,0,65.0,6,10,0,0,0,0,1,0,1,0,1,1,0,1,2005,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,1,2,0,6,0,0,0,2,1,4,0,1,4,2870000.0
122,1,0,38.0,9,9,0,0,0,0,1,1,0,0,1,1,0,1,1981,0,1,0,0,0,1,0,0,0,0,0,6,11,2,17,3,3,1,9,25,6,0,9,5,12,3,12,12,2150000.0
1285,3,0,65.0,7,9,0,0,0,0,1,1,0,0,1,1,0,1,1984,0,1,0,0,0,1,0,0,0,0,0,5,14,5,20,4,5,1,19,57,10,0,30,4,13,20,26,23,3849000.0
109,1,0,33.0,8,10,0,0,0,0,1,2,0,0,1,1,0,1,2012,0,1,0,0,0,1,0,0,0,0,0,5,1,2,2,0,1,0,2,0,2,0,0,1,6,1,1,3,1800000.0
936,2,0,46.0,7,9,0,0,1,0,0,0,0,0,1,1,0,0,1975,0,1,0,0,0,0,0,0,1,0,0,6,2,2,8,2,2,1,13,10,6,0,5,2,17,2,10,14,2200000.0
548,2,0,58.7,7,10,0,0,0,0,1,1,0,0,1,1,0,1,2000,0,1,0,0,0,1,0,0,0,0,0,2,0,0,17,2,4,0,9,9,6,0,4,0,19,5,9,30,3700000.0
480,3,0,67.0,4,9,0,0,0,0,1,0,1,0,1,1,0,1,1982,0,1,0,0,0,1,0,0,0,0,0,6,1,2,5,0,2,0,2,0,4,0,0,2,9,1,1,5,3550000.0
1582,3,0,66.0,4,5,0,1,0,0,0,1,0,0,1,0,0,0,1973,0,1,0,0,0,0,0,0,1,0,0,4,29,5,21,6,7,3,21,81,10,2,47,5,17,36,31,25,3700000.0
1477,2,0,54.0,5,5,1,1,0,0,0,2,0,1,0,0,0,0,1958,0,1,0,0,0,0,0,0,1,0,0,7,15,1,8,3,1,3,4,23,6,0,10,1,15,3,13,18,2390000.0
1233,3,0,60.0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,1971,0,1,0,0,0,0,0,0,1,0,0,6,2,2,14,3,5,2,16,19,5,1,11,4,21,8,10,21,2990000.0
1145,3,0,79.0,8,9,0,0,0,0,1,0,1,0,1,0,0,0,1969,0,1,0,0,0,1,0,0,0,0,0,7,2,3,7,3,4,1,12,13,4,1,15,5,10,2,14,13,4000000.0
1596,1,0,31.9,9,10,0,1,0,0,0,1,0,1,0,1,0,1,2010,0,1,0,0,0,0,0,0,1,0,0,2,1,2,24,1,1,1,10,57,7,1,17,2,20,9,19,18,1980000.0
911,3,0,64.4,5,5,0,0,0,0,1,0,1,0,1,0,0,0,1975,0,1,0,0,0,0,0,0,1,0,0,6,3,1,7,2,4,1,12,11,4,1,10,3,14,2,14,13,3800000.0
1362,1,0,32.0,4,5,0,0,0,0,1,1,0,0,1,0,0,0,1976,0,1,0,0,0,1,0,0,0,0,0,3,0,3,3,2,0,2,9,4,1,0,6,4,5,1,5,12,1350000.0
1052,1,1,28.0,1,9,0,0,0,0,1,0,0,0,0,1,0,1,1976,0,1,0,0,0,1,0,0,0,0,0,3,7,1,8,2,3,0,9,13,6,1,10,5,12,6,3,12,1750000.0
1209,3,0,64.3,4,9,0,0,0,0,1,1,0,0,1,1,0,1,1984,0,1,0,0,0,1,0,0,0,0,0,8,5,3,21,3,4,3,27,43,11,1,19,2,26,9,19,31,3800000.0
169,1,0,17.1,5,5,0,0,0,1,0,0,0,1,0,0,0,0,1973,0,1,0,0,0,1,0,0,0,0,0,3,0,0,1,2,3,0,7,0,2,0,1,3,4,3,0,9,950000.0
1307,1,0,32.0,5,5,0,0,0,0,1,0,0,0,1,0,0,0,1970,0,1,0,0,0,1,0,0,0,0,0,6,9,1,11,3,4,1,7,8,5,0,10,3,16,8,12,22,1670000.0
1231,2,0,50.0,3,5,0,0,0,0,1,1,0,0,1,0,0,0,1977,0,1,0,0,0,1,0,0,0,0,0,5,4,1,13,3,1,0,12,18,8,0,9,3,22,4,14,24,3050000.0
129,2,0,54.0,2,10,1,0,0,0,1,1,0,0,1,1,0,1,2007,0,1,0,0,0,0,0,0,0,0,1,4,1,4,9,4,5,1,12,5,10,0,7,4,21,2,7,17,3200000.0
1161,2,0,54.0,10,10,0,0,0,0,1,1,0,0,1,1,0,1,2006,0,1,0,0,0,1,0,0,0,0,0,4,3,4,13,3,2,2,21,44,7,1,15,2,15,3,11,16,3400000.0
1022,1,0,42.0,5,17,0,0,0,0,1,0,1,1,0,1,0,1,2013,0,1,0,0,0,0,0,0,1,0,0,2,0,2,15,3,4,1,15,5,5,0,8,3,21,6,4,21,2700000.0
429,1,1,27.0,14,18,0,0,0,0,1,1,0,1,0,1,0,1,2016,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0,2,1700000.0
1335,4,0,77.0,8,9,0,0,0,0,1,2,0,0,1,1,0,1,1974,0,1,0,0,0,1,0,0,0,0,0,5,0,3,4,1,0,2,6,4,1,0,3,1,7,1,3,11,3900000.0
1213,2,0,50.5,6,9,0,0,0,0,1,0,1,0,1,1,0,1,1983,0,1,0,0,0,0,0,0,1,0,0,8,16,4,21,5,7,3,19,66,9,1,38,4,15,25,29,20,3200000.0
